model,variant,seed,hf_model_id,AUC,AUPRC,ACC,SN,SP,F1,MCC,Threshold,metrics_path,predictions_path,config_path,adapter_type
ankh,lm_only,44,ElnaggarLab/ankh-large,0.7662721893491125,0.2347622835287486,0.6258741258741258,0.7692307692307693,0.6115384615384616,0.272108843537415,0.2215646837627989,0.05,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_44/config.json,lora
ankh,lm_only,55,ElnaggarLab/ankh-large,0.7658284023668639,0.2318808342087029,0.7062937062937062,0.7307692307692307,0.7038461538461539,0.3114754098360656,0.2645854917718285,0.2,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_55/config.json,lora
ankh,lm_pssm,11,ElnaggarLab/ankh-large,0.9050295857988164,0.564158399471768,0.9125874125874126,0.4615384615384615,0.9576923076923076,0.4897959183673469,0.443184645702903,0.75,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_11/config.json,lora
ankh,lm_pssm,22,ElnaggarLab/ankh-large,0.9229289940828402,0.5847115782909106,0.9055944055944056,0.6538461538461539,0.9307692307692308,0.5573770491803278,0.5128291521826744,0.85,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_22/config.json,lora
ankh,lm_pssm,33,ElnaggarLab/ankh-large,0.9187869822485206,0.5526956512858918,0.9055944055944056,0.3846153846153846,0.9576923076923076,0.425531914893617,0.3772744740253746,0.6,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_33/config.json,lora
ankh,lm_pssm,44,ElnaggarLab/ankh-large,0.9338757396449704,0.6489885984921755,0.8986013986013986,0.7307692307692307,0.9153846153846154,0.5671641791044776,0.5300713251592634,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_44/config.json,lora
ankh,lm_pssm,55,ElnaggarLab/ankh-large,0.8970414201183432,0.5224781801800287,0.9090909090909092,0.3461538461538461,0.9653846153846154,0.4090909090909091,0.3687918961780033,0.65,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_pssm/seed_55/config.json,lora
esm2,lm_only,11,facebook/esm2_t36_3B_UR50D,0.9277366863905326,0.5589746627616015,0.9265734265734266,0.4230769230769231,0.9769230769230768,0.5116279069767442,0.4863318791710143,0.7999999999999999,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_11/config.json,lora
esm2,lm_only,22,facebook/esm2_t36_3B_UR50D,0.916346153846154,0.5739810828160121,0.916083916083916,0.1923076923076923,0.9884615384615384,0.2941176470588235,0.3151595462116693,0.75,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_22/config.json,lora
esm2,lm_only,33,facebook/esm2_t36_3B_UR50D,0.9274408284023667,0.5898042611417205,0.9055944055944056,0.5769230769230769,0.9384615384615383,0.5263157894736842,0.4765998059998177,0.9,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_33/config.json,lora
esm2,lm_only,44,facebook/esm2_t36_3B_UR50D,0.9295118343195268,0.6271873229048927,0.9370629370629372,0.5769230769230769,0.9730769230769232,0.625,0.59336610396393,0.15,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_44/config.json,lora
esm2,lm_only,55,facebook/esm2_t36_3B_UR50D,0.9266272189349112,0.5432555280971084,0.9230769230769232,0.3846153846153846,0.9769230769230768,0.4761904761904761,0.4522577108652068,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_only/seed_55/config.json,lora
esm2,lm_pssm,11,facebook/esm2_t36_3B_UR50D,0.8684171597633137,0.5823353889587991,0.9370629370629372,0.6153846153846154,0.9692307692307692,0.64,0.6061600658615615,0.7,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_pssm/seed_11/config.json,lora
esm2,lm_pssm,22,facebook/esm2_t36_3B_UR50D,0.9375739644970414,0.6254290215287037,0.8741258741258742,0.8076923076923077,0.8807692307692307,0.5384615384615384,0.5131489332980287,0.25,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/esm2/lm_pssm/seed_22/config.json,lora
