adapter_type,model,seed,adapter_variant,feature_variant,AUC,AUPRC,ACC,F1,MCC,Threshold,metrics_path,predictions_path,config_path
dora,prott5,22,lm_only,lm_pssm,0.9371301775147928,0.6356994567871986,0.9195804195804196,0.5660377358490566,0.5218519639988646,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_22/config.json
dora,prott5,33,lm_only,lm_pssm,0.9285502958579884,0.6014864333444612,0.93006993006993,0.375,0.4629100498862757,0.75,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_33/config.json
dora,prott5,44,lm_only,lm_pssm,0.9344674556213016,0.6689009403954973,0.9090909090909092,0.5806451612903226,0.54,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_44/config.json
dora,prott5,55,lm_only,lm_pssm,0.9298816568047336,0.6357081916302922,0.9195804195804196,0.5818181818181818,0.5384579260682427,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_55/config.json
dora,prott5,11,lm_pssm,lm_only,0.9032544378698224,0.6005320255981776,0.8916083916083916,0.5507246376811594,0.5135357983371719,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_11/config.json
dora,prott5,22,lm_pssm,lm_only,0.8923076923076924,0.5470582270040321,0.9195804195804196,0.5818181818181818,0.5384579260682427,0.5499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_22/config.json
dora,prott5,33,lm_pssm,lm_only,0.9062130177514792,0.519528062293234,0.9090909090909092,0.5357142857142857,0.4871392896287467,0.4999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_33/config.json
dora,prott5,44,lm_pssm,lm_only,0.837130177514793,0.3992451225252327,0.8916083916083916,0.5230769230769231,0.4768490648243918,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_44/config.json
dora,prott5,55,lm_pssm,lm_only,0.8988165680473372,0.5901867888456374,0.9125874125874126,0.5283018867924528,0.4802550683177957,0.6,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_pssm__feature_lm_only/seed_55/config.json
lora,ankh,11,lm_only,lm_only,0.7930473372781065,0.2987801357793643,0.8426573426573427,0.3835616438356164,0.3192536698680305,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/lora/ankh/adapter_lm_only__feature_lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/lora/ankh/adapter_lm_only__feature_lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/lora/ankh/adapter_lm_only__feature_lm_only/seed_11/config.json
