group_id,strategy,adapter_type,adapter_variant,external_variant,model,n_seeds,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std
G06,S3,dora,lm_only,lm_pssm,ankh,5,0.928698224852071,0.006210904120613059,0.6120213185390584,0.036318600964200067,0.9181818181818182,0.010036853212872286,0.5482119363882954,0.040470665216019705,0.5065266119567088,0.046477661082408576
G06,S3,dora,lm_only,lm_pssm,esm2,5,0.9429585798816568,0.01249508849273599,0.6421991727597081,0.03596710086410525,0.9174825174825175,0.00979020979020979,0.5815867655902774,0.038986061257907254,0.5437485117530726,0.046641963239446624
G06,S3,dora,lm_only,lm_pssm,protbert,5,0.9307396449704142,0.005985843973053841,0.6071069877596388,0.0273729451530752,0.906993006993007,0.021048834885723663,0.5489598533561381,0.036662526274153895,0.5068564448887881,0.037246406571071596
G06,S3,dora,lm_only,lm_pssm,prott5,5,0.9339349112426035,0.004207637346230462,0.6350645208239969,0.021333405190217914,0.9167832167832166,0.00867809345873482,0.5321756256275778,0.07911966989523724,0.5152098184272115,0.028071619370101056
G07,S4,lora,lm_pssm,lm_pssm,ankh,5,0.928698224852071,0.006237623858670985,0.6120916710189948,0.036411459273930545,0.9181818181818182,0.010036853212872286,0.5482119363882954,0.040470665216019705,0.5065266119567088,0.046477661082408576
G07,S4,lora,lm_pssm,lm_pssm,esm2,5,0.9491715976331362,0.0059911059974883975,0.6887247013513955,0.021210330987003225,0.9251748251748252,0.0047428881000875995,0.6218494399981488,0.025388703751881056,0.5885039708720349,0.025009997088050222
G07,S4,lora,lm_pssm,lm_pssm,protbert,5,0.9302071005917159,0.005875146707302132,0.6040324434850973,0.02610030803759213,0.9,0.017072105756270887,0.5556154200117047,0.01765071594810997,0.517832285231688,0.015771098017029226
G07,S4,lora,lm_pssm,lm_pssm,prott5,5,0.9334319526627219,0.002190148582641689,0.6290407259060695,0.024213623645913385,0.9132867132867133,0.008678093458734876,0.562913010806749,0.02033920242613491,0.5200508168674782,0.021864172439472886
G08,S4,lora,lm_pssm,lm_only,ankh,5,0.7865976331360947,0.01753681847145503,0.29224655512041864,0.057179075361091534,0.7713286713286714,0.07488070614367026,0.2944114803510834,0.058408095881988066,0.22728151207172242,0.07002038407380702
G08,S4,lora,lm_pssm,lm_only,esm2,5,0.909585798816568,0.010416302235610067,0.6669651952722775,0.03388841985612263,0.920979020979021,0.010512794670190916,0.5811776615186155,0.053993630381795,0.5462597436324846,0.052448313976412364
G08,S4,lora,lm_pssm,lm_only,protbert,5,0.8863609467455621,0.006350548815389385,0.49213172924345605,0.06628910322764714,0.8342657342657344,0.02922039498709953,0.44594667296263113,0.03068174612694941,0.407949329398898,0.025656628193088758
G08,S4,lora,lm_pssm,lm_only,prott5,5,0.8849408284023669,0.020699786124937426,0.5410801076269973,0.05121232012226334,0.9104895104895107,0.01678321678321678,0.5517099069512863,0.01948011112367149,0.5097905501033091,0.021990489103218925
G09,S5,dora,lm_pssm,lm_pssm,ankh,5,0.9279881656804733,0.00601647423797557,0.6121004831316191,0.036379299694671845,0.9146853146853147,0.014601827285189635,0.5431271906255836,0.04723964626706947,0.5002791805956657,0.054978057720137107
G09,S5,dora,lm_pssm,lm_pssm,esm2,5,0.9501479289940828,0.010921929331268121,0.7015591104601415,0.03902691866974652,0.9244755244755245,0.005233087254229254,0.6002760268611214,0.06046161936358685,0.5699214869148901,0.055563953639774365
G09,S5,dora,lm_pssm,lm_pssm,protbert,5,0.9302958579881656,0.006010651936095908,0.6030916102028758,0.02617479124191565,0.9055944055944056,0.016841391019289904,0.5521966165929013,0.018939640185633082,0.5115581315086073,0.018243572634384735
G09,S5,dora,lm_pssm,lm_pssm,prott5,5,0.9330769230769231,0.0019255787094998107,0.6315753684262984,0.03110259691742194,0.918881118881119,0.006015612074854981,0.5732166505221533,0.01775603660352834,0.5306906415743419,0.01968638112001863
G10,S5,dora,lm_pssm,lm_only,ankh,5,0.7925739644970414,0.020555935382876752,0.3158263919713464,0.04413022124898975,0.7244755244755245,0.14457777709595052,0.33450054967455267,0.05995812252590122,0.28469027489086624,0.04715229872908651
G10,S5,dora,lm_pssm,lm_only,esm2,5,0.9048816568047338,0.023246230691083877,0.6830478111113293,0.042365549647246745,0.9083916083916084,0.022486622644494386,0.6032329729890706,0.032086321255636666,0.5778892389699077,0.02990683364026675
G10,S5,dora,lm_pssm,lm_only,protbert,5,0.8934911242603552,0.006437886138162434,0.5144751781717847,0.06235347078140415,0.8496503496503497,0.018100949797964734,0.46265223288553087,0.0180211074022442,0.4224417707025154,0.013968935959872595
G10,S5,dora,lm_pssm,lm_only,prott5,5,0.8875443786982249,0.025638514518215406,0.5313100452532628,0.07223035049755777,0.904895104895105,0.011362291475015362,0.5439271830166005,0.021110509628339238,0.49924742943526973,0.023454739818270873
